#Table1
class,subclass,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux
GALAXY,,38.96968,26.90616,88.25185,101.0841
GALAXY,STARFORMING,68.05516,417.0417,1877.448,710.3118
GALAXY,,37.09504,11.20028,18.90489,30.29344
GALAXY,,63.36956,39.62777,81.65417,78.99485
GALAXY,BROADLINE,57.50086,27.13657,34.94661,31.83283
GALAXY,AGN,374.064,360.9016,1634.89,2166.352
GALAXY,BROADLINE,70.76586,40.38296,140.0416,155.3085
GALAXY,STARFORMING,164.1029,214.0816,776.2706,438.3347
GALAXY,AGN BROADLINE,55.38512,50.1454,201.0143,225.9397
GALAXY,BROADLINE,279.4177,151.6064,589.9675,1351.727
GALAXY,BROADLINE,176.0314,126.1171,380.8809,307.4327
GALAXY,,397.0413,53.31718,339.9698,579.7974
GALAXY,BROADLINE,48.20422,42.46762,109.5187,117.0291
GALAXY,AGN,201.2907,128.325,632.7863,430.8555
GALAXY,,797.8801,89.22804,556.9174,1051.947
GALAXY,BROADLINE,88.7822,64.62541,183.0829,135.8652
GALAXY,BROADLINE,69.69997,45.12333,111.7822,104.7248
GALAXY,STARFORMING,151.7438,713.1404,3564.81,1704.94
GALAXY,,690.1848,213.9388,591.527,451.8427
GALAXY,,16.42056,35.37253,108.808,28.9663
GALAXY,,56.15703,16.90811,39.45438,31.88285
GALAXY,BROADLINE,47.16491,66.66055,301.6982,186.4405
GALAXY,,95.30748,61.70026,162.0215,180.162
GALAXY,BROADLINE,101.9262,41.45157,229.2628,240.0128
GALAXY,,31.67538,1.771337,70.73418,81.09202
GALAXY,,93.51083,74.23348,148.1751,67.37181
GALAXY,STARBURST,158.6263,1240.925,5799.539,2790.235
GALAXY,,21.8517,0.7164418,35.12408,167.3798
GALAXY,,46.51356,35.34944,103.7529,157.3576
GALAXY,BROADLINE,21.93674,9.547396,45.8208,34.42722
GALAXY,,60.41882,18.56263,93.38197,62.24426
GALAXY,,45.28498,13.47949,38.0748,61.81004
GALAXY,BROADLINE,41.32278,50.71491,317.5425,239.3056
GALAXY,,29.72635,25.87436,44.3205,33.81597
GALAXY,BROADLINE,37.11278,79.60676,226.7513,165.645
GALAXY,,43.31239,13.0486,30.66291,61.60824
GALAXY,BROADLINE,73.72437,55.23895,216.3365,397.7234
GALAXY,,162.2824,73.72364,192.5704,206.2247
GALAXY,AGN BROADLINE,91.32575,59.40524,181.6204,300.6671
GALAXY,BROADLINE,194.8097,19.98258,63.92025,43.99044
GALAXY,BROADLINE,17.45816,4.136241,26.11087,33.51836
GALAXY,BROADLINE,161.6243,54.38554,260.5184,340.0758
GALAXY,BROADLINE,126.7982,29.01049,68.31363,90.12407
GALAXY,,118.8471,74.31921,187.6475,163.4656
GALAXY,,28.07853,20.9449,62.88594,59.39474
GALAXY,BROADLINE,54.77234,20.45427,73.46342,90.33938
GALAXY,STARBURST,1375.126,893.8438,3638.934,744.4879
GALAXY,STARFORMING,146.9625,221.3347,1162.381,722.5759
GALAXY,,36.92607,1.975205,21.98429,61.03341
GALAXY,BROADLINE,103.1774,64.18906,147.4253,209.0202
GALAXY,STARFORMING,171.6011,754.1227,3209.964,2005.167
GALAXY,,30.44839,16.25537,26.92661,30.96749
GALAXY,STARFORMING,35.62173,55.51481,174.6842,104.6454
GALAXY,STARFORMING,1510.62,910.3036,3310.609,882.5734
GALAXY,STARFORMING,121.4247,468.6282,2751.297,1329.873
GALAXY,,3.018854,2.235625,17.40889,16.2803
GALAXY,BROADLINE,97.29787,29.66571,98.54584,91.5705
GALAXY,STARFORMING,96.38772,383.0048,1387.184,694.0907
GALAXY,STARFORMING,137.0189,672.5318,3259.652,1183.314
GALAXY,STARFORMING,520.5664,840.7063,4881.967,2740.887
GALAXY,,41.82707,31.88369,82.85461,67.62585
GALAXY,STARFORMING BROADLINE,59.01332,82.29792,356.5822,290.929
GALAXY,STARBURST,242.9898,2526.197,9994.48,3545.336
GALAXY,STARFORMING,48.91881,109.4191,343.5617,155.9269
GALAXY,,50.12107,39.82523,113.4494,132.9302
GALAXY,,72.67821,12.77216,58.015,93.59153
GALAXY,BROADLINE,154.2365,44.782,173.0696,245.4339
GALAXY,BROADLINE,145.6623,54.79632,242.9258,344.1571
GALAXY,STARBURST,1743.406,1661.83,5878.867,1554.088
GALAXY,,39.615,34.06393,67.62209,24.20722
GALAXY,STARFORMING,175.2885,654.1502,3021.58,1725.61
GALAXY,BROADLINE,64.53451,23.56977,139.6676,275.2803
GALAXY,AGN,994.2809,429.6107,1823.711,1529.395
GALAXY,BROADLINE,37.13248,31.96688,88.71162,91.36058
GALAXY,STARFORMING,59.69249,89.66411,466.8225,336.528
GALAXY,,66.10343,15.50416,35.70432,16.39094
GALAXY,AGN,6923.906,2027.236,9007.248,5358.045
GALAXY,BROADLINE,585.2499,96.83932,287.0373,278.4561
GALAXY,AGN BROADLINE,195.194,161.5564,467.7974,324.6467
GALAXY,,106.3101,104.8214,242.8895,235.4353
GALAXY,STARFORMING BROADLINE,108.2171,281.4247,1269.173,548.6845
GALAXY,STARFORMING,162.5672,359.1968,1612.713,749.6603
GALAXY,,33.21599,10.01337,43.34865,46.57373
GALAXY,STARFORMING,1826.258,1107.254,5518.173,3339.275
GALAXY,,24.93224,46.51295,96.09526,21.44958
GALAXY,BROADLINE,21.71961,17.54804,92.536,67.01106
GALAXY,BROADLINE,54.47893,73.26811,197.618,189.5051
GALAXY,,38.19832,18.75813,55.24631,100.2106
GALAXY,BROADLINE,82.02875,48.27552,164.3297,215.0643
GALAXY,AGN BROADLINE,33.92199,56.84223,171.5769,114.2342
GALAXY,STARFORMING BROADLINE,61.79113,85.17157,530.8751,311.0701
GALAXY,STARFORMING,78.43416,115.0233,612.879,497.0024
GALAXY,STARFORMING,230.8643,906.6357,3182.556,1438.303
GALAXY,BROADLINE,76.69291,27.28883,41.49088,62.46792
GALAXY,BROADLINE,52.35191,35.74885,143.8768,174.7336
GALAXY,STARBURST,439.2678,539.1512,1928.083,556.5782
GALAXY,STARBURST,2703.689,1363.554,4564.237,804.0414
GALAXY,,9.42961,6.250107,18.72839,6.105363
GALAXY,,143.5862,28.5283,153.8122,111.482
GALAXY,STARBURST,470.1197,2261.424,8449.703,3992.471
GALAXY,AGN BROADLINE,355.7972,272.3611,978.3191,871.1136
GALAXY,AGN BROADLINE,266.7648,159.6467,627.265,1293.288
GALAXY,,22.9274,0.6837659,29.43532,31.61749
GALAXY,BROADLINE,121.3114,56.37286,214.6009,436.0734
GALAXY,STARFORMING,81.99693,309.3317,1598.466,807.6415
GALAXY,BROADLINE,140.6149,67.60653,162.4741,146.2638
GALAXY,BROADLINE,125.3782,67.10316,243.1269,441.2373
GALAXY,BROADLINE,155.4445,77.28137,202.3219,242.2809
GALAXY,AGN BROADLINE,201.5748,206.0101,662.5453,450.8914
GALAXY,,38.3243,2.686662,20.84778,23.39157
GALAXY,BROADLINE,55.55807,28.19223,66.71165,35.21398
GALAXY,STARFORMING,157.6654,326.0396,1755.793,1120.959
GALAXY,BROADLINE,80.43136,114.7839,316.3889,264.8346
GALAXY,BROADLINE,14.11514,8.036892,25.31476,68.63561
GALAXY,AGN,66.67204,48.74186,161.1745,194.1384
GALAXY,BROADLINE,157.5523,103.9542,386.7274,454.2625
GALAXY,BROADLINE,92.37119,55.98993,170.2104,227.0901
GALAXY,STARFORMING BROADLINE,53.60918,66.61237,386.0497,303.3511
GALAXY,STARFORMING,517.3818,656.2391,2763.628,1363.364
GALAXY,AGN BROADLINE,191.7525,154.0257,361.0269,359.933
GALAXY,STARBURST,745.2076,1114.49,3924.727,1299.615
GALAXY,,7.67387,11.8978,17.72771,4.310004
GALAXY,,20.8806,16.65432,25.31014,22.51699
GALAXY,STARBURST,2322.263,2452.829,11302.42,6562.333
GALAXY,,127.3183,65.58327,174.3565,149.4402
GALAXY,,177.6524,60.65162,249.0444,107.0863
GALAXY,,33.3929,13.14733,53.59904,68.99643
GALAXY,BROADLINE,68.7897,28.71009,70.48476,54.77916
GALAXY,STARBURST,1700.553,3136.074,11471.43,4230.667
GALAXY,BROADLINE,72.21103,104.1583,532.7416,373.432
GALAXY,STARFORMING,1086.751,476.3092,1410.309,175.5866
GALAXY,BROADLINE,224.9048,100.7597,244.9906,243.7554
GALAXY,STARBURST,595.333,2186.901,9309.233,4085.684
GALAXY,BROADLINE,365.2667,133.6285,517.0765,865.1218
GALAXY,STARBURST,958.0662,915.2215,3379.098,734.6161
GALAXY,,89.79653,34.69703,111.7259,103.608
GALAXY,BROADLINE,65.51929,15.03557,60.7398,69.17746
GALAXY,,35.41151,13.13603,37.19269,55.27918
GALAXY,,11.5108,17.32243,14.21525,15.64494
GALAXY,STARBURST,297.9874,535.697,2008.5,572.9457
GALAXY,STARBURST,1749.655,732.845,2481.678,480.6317
GALAXY,BROADLINE,89.17094,61.81054,182.5033,243.5643
GALAXY,STARFORMING,70.0569,236.4291,923.4749,402.5594
GALAXY,,37.15548,17.24999,76.67794,83.56433
GALAXY,,184.2695,47.16758,116.3211,146.4065
GALAXY,,10.1647,9.59227,16.34176,40.08785
GALAXY,BROADLINE,174.6303,61.42393,235.739,321.2444
GALAXY,BROADLINE,84.81606,30.12839,93.56311,162.5916
GALAXY,BROADLINE,85.15228,12.38709,59.78456,77.13836
GALAXY,BROADLINE,108.7433,121.2102,663.1885,395.7936
GALAXY,STARFORMING BROADLINE,49.40711,119.125,503.1718,319.7461
GALAXY,BROADLINE,62.42334,25.85138,74.27814,66.1494
GALAXY,STARBURST,104.7954,709.2227,3745.274,1788.393
GALAXY,BROADLINE,63.10585,109.2403,221.5212,231.2759
GALAXY,,13.39374,11.8906,37.29354,4.700366
GALAXY,BROADLINE,77.47127,9.165047,202.0517,334.8678
GALAXY,BROADLINE,130.6564,85.61443,263.0497,436.6714
GALAXY,,100.3237,83.13992,145.9146,171.0179
GALAXY,BROADLINE,78.50513,39.41467,138.4894,203.9565
GALAXY,STARFORMING,256.3197,895.5764,4692.319,2468.124
GALAXY,STARFORMING,284.6534,727.3481,2336.337,805.7728
GALAXY,STARBURST,3540.069,1359.237,4496.629,487.6565
GALAXY,,16.22394,6.911902,15.54723,16.03799
GALAXY,BROADLINE,92.98511,24.80284,70.5453,44.58843
GALAXY,AGN BROADLINE,95.86843,80.34064,269.9392,233.0077
GALAXY,,72.88349,27.93827,68.09853,29.21235
GALAXY,STARFORMING,51.55574,195.9823,830.77,330.3353
GALAXY,BROADLINE,74.28274,70.29488,164.4087,185.7659
GALAXY,AGN,2325.545,1094.148,4913.315,3903.085
GALAXY,BROADLINE,134.741,38.00314,234.9949,373.7536
GALAXY,BROADLINE,85.9426,34.24251,136.6129,223.2739
GALAXY,AGN BROADLINE,278.6271,203.4313,859.0906,1349.898
GALAXY,STARFORMING BROADLINE,137.8656,125.1898,451.3723,322.4939
GALAXY,STARBURST,2082.449,781.5953,2816.121,320.8546
GALAXY,AGN,126.1024,61.65615,262.5349,208.9472
