#Table1
specobjid,class,z,snmedian_g,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,OIII_Hbeta,Hbeta_Hgamma,OIII_Hgamma,E_BV
1192387144019109888,QSO,0.2527351,45.6013,1366.708,2892.682,1262.231,-8.04793,-12.84545,-6.00423,0.4724707,2.291722,1.082772,0.04490913
1192500668594677760,QSO,0.06183716,36.47599,1773.729,1786.943,941.2366,-18.55326,-12.15111,-6.407396,0.9926052,1.898506,1.884467,0.04036992
382939317498046464,QSO,0.08373255,39.97597,1228.472,1447.242,905.5444,-17.36642,-10.21055,-8.078292,0.8488361,1.598201,1.356611,0.02868657
1084391463090939904,QSO,0.2858998,39.5695,2211.76,2536.629,1216.535,-18.62582,-11.2408,-6.669644,0.8719287,2.085126,1.818081,0.01648002
1371360975390795776,QSO,0.05502596,39.15284,1215.503,3987.076,1858.835,-12.19428,-23.61081,-11.26149,0.3048607,2.144933,0.6539056,0.01521724
2837336286749026304,QSO,0.1382551,74.04954,1368.654,5197.323,2322.489,-8.00507,-24.13497,-9.425919,0.2633382,2.237825,0.5893047,0.04823577
556228670969112576,QSO,0.1842309,49.16934,3279.306,1780.146,836.7058,-53.41611,-14.36981,-8.032459,1.842156,2.127565,3.919306,0.01408172
1605684775098542080,QSO,0.05348795,36.37178,876.6531,2276.364,1263.183,-9.687435,-15.99699,-10.11903,0.3851112,1.802085,0.694003,0.01755651
1956929263122802688,QSO,0.2009477,42.91209,814.9982,3135.877,1397.776,-9.525914,-21.42677,-10.91753,0.2598948,2.243477,0.5830679,0.03650901
3246113543367452672,QSO,0.09967799,39.37139,14873.48,4169.275,2296.28,-189.9055,-27.72459,-18.0158,3.567403,1.815665,6.47721,0.01186498
1139431091132721152,QSO,0.1027759,44.92632,2502.272,3461.101,1471.97,-25.67009,-22.34332,-10.86124,0.7229698,2.35134,1.699948,0.01297909
2061660519714023424,QSO,0.2876647,36.16796,528.7509,2066.256,917.9634,-7.704777,-23.49095,-10.76084,0.255898,2.250914,0.5760044,0.0306989
369453262526507008,QSO,0.1051187,58.12148,646.8806,2409.637,1127.948,-14.89648,-27.60482,-13.37396,0.2684556,2.136301,0.573502,0.01900618
445932259879446528,QSO,0.2942613,40.16784,364.8781,2682.965,1132.911,-2.481773,-16.98236,-6.954131,0.1359981,2.368204,0.3220712,0.0362667
